date,"仁義潭水庫","日月潭水庫","明德水庫","南化水庫","烏山頭水庫","德基水庫","霧社水庫","白河水庫","永和山水庫","石岡壩","石門水庫","牡丹水庫","阿公店水庫","高屏溪攔河堰","曾文水庫","湖山水庫","集集攔河堰","翡翠水庫","鯉魚潭水庫","寶山第二水庫"
1620230400,21.15,31.88,9.85,17.62,41.21,3.77,6.87,0.00,4.95,21.36,19.17,38.77,8.19,5.98,7.72,34.30,7.73,69.16,4.74,5.73
1620316800,20.99,31.58,9.85,17.08,45.97,3.71,6.17,0.00,4.82,18.37,18.50,38.40,7.67,5.98,6.80,34.02,7.34,68.76,4.53,5.60
1620403200,20.78,26.46,9.78,16.64,51.17,3.47,5.62,0.00,4.64,26.84,18.01,38.06,7.41,5.98,5.97,33.78,6.67,68.32,4.33,5.44
1620489600,20.62,25.13,9.65,16.14,52.33,3.24,6.29,0.00,4.57,18.37,17.58,37.75,7.27,5.98,5.98,33.52,6.34,67.81,4.13,5.37
1620576000,20.41,30.75,9.57,15.66,51.35,3.01,6.89,0.00,4.43,18.37,17.07,37.42,7.01,5.98,5.98,33.24,5.05,67.39,3.91,5.23
1620662400,20.26,28.87,9.52,15.21,50.37,6.10,0.00,2.80,4.26,31.81,16.54,37.11,6.75,5.98,5.97,32.98,4.41,66.89,3.85,5.08
1620748800,20.05,28.10,9.45,14.70,49.33,2.77,5.75,0.00,4.08,25.04,15.80,36.77,6.29,5.98,5.98,32.70,4.32,66.25,3.83,4.91
1620835200,19.84,26.71,9.32,14.16,48.30,2.93,5.09,0.00,3.93,24.59,15.20,36.43,5.57,5.98,5.98,32.43,3.55,65.74,3.69,4.63
1620921600,19.64,28.48,3.74,9.27,13.68,47.20,2.75,4.34,0.00,30.60,14.65,36.10,4.72,5.98,5.98,32.15,3.00,65.16,3.47,4.46
1621008000,19.43,28.02,3.66,9.15,13.21,46.21,2.54,3.74,0.00,13.84,36.10,4.06,4.72,5.98,31.87,2.52,64.62,3.24,4.27,21.36
